Unnamed: 0,impact_Rating,CVE-Id,Advisory,versions_Affected
1,,CVE-2009-3555,TLS SSL Man In The Middle,
2,Important,CVE-2014-0160,Important: Remote Memory Read,"Affects: OpenSSL 1.0.1-1.0.1f, tcnative 1.1.24-1.1.29"
